Virgin Islands	wn31-08772362-n
Sarah Bernhardt	wn31-10867590-n
Tertullian	wn31-11356663-n
Indus (constellation)	wn31-09335422-n
John Galsworthy	wn31-11008462-n
Vasco da Gama	wn31-10940334-n
William Inge (priest)	wn31-11091667-n
Albert, Prince Consort	wn31-10831144-n
French Polynesia	wn31-09012067-n
Freyr	wn31-09603299-n
Times Square	wn31-09145209-n
Keuka Lake	wn31-09348152-n
Jack Frost	wn31-09514353-n
Ben Hogan	wn31-11075449-n
Augustus	wn31-10848594-n
Ashurbanipal	wn31-10845637-n
Émile Zola	wn31-11427586-n
Tuskegee, Alabama	wn31-09077378-n
Galina Ulanova	wn31-11375532-n
Siege of Petersburg	wn31-01292928-n
Colorado	wn31-09089754-n
Brooklyn	wn31-09142754-n
Las Cruces, New Mexico	wn31-09138546-n
Honoré Gabriel Riqueti, comte de Mirabeau	wn31-11201624-n
Lake Malawi	wn31-09355300-n
Colombia	wn31-08749949-n
Nullarbor Plain	wn31-08854382-n
Ganymede (moon)	wn31-09309939-n
Lhasa	wn31-08927150-n
Cumbria	wn31-08901776-n
Fatah	wn31-08028255-n
Adolph Ochs	wn31-11231860-n
Zachary Taylor	wn31-11353232-n
Radclyffe Hall	wn31-11045121-n
Bill Tilden	wn31-11362435-n
Giuseppe Guarneri	wn31-11037983-n
Book of Malachi	wn31-06453134-n
Louis III of France	wn31-11159393-n
Bill Haywood	wn31-11056907-n
Algol	wn31-09215444-n
Dawson City	wn31-08849248-n
Carl Nielsen	wn31-11226996-n
Peter Abelard	wn31-10826921-n
Siege Perilous	wn31-04223369-n
Mickey Spillane	wn31-11331282-n
Saladin	wn31-11298746-n
Demeter	wn31-09581698-n
Victoria Falls, Zimbabwe	wn31-09332362-n
New English Bible	wn31-06461031-n
Disneyland	wn31-09084654-n
Chari River	wn31-09454313-n
Dardanus	wn31-09517411-n
Otis Skinner	wn31-11324806-n
Eileen Farrell	wn31-10987144-n
Richard Henry Lee	wn31-11143884-n
Martha Graham	wn31-11030183-n
French Revolution	wn31-01307498-n
Badlands National Park	wn31-08620012-n
Stuttgart	wn31-08792745-n
Thomas Dekker (writer)	wn31-10947891-n
Odd Hassel	wn31-11054163-n
Miltiades	wn31-11200942-n
Alicia Markova	wn31-11177130-n
Australia	wn31-08849996-n
Paul the Apostle	wn31-11245651-n
Loretta Young	wn31-11424276-n
Paipai people	wn31-08505260-n
Frederick William I of Prussia	wn31-11000889-n
Victor Emmanuel III of Italy	wn31-11385669-n
Altair	wn31-09217816-n
Battles of Lexington and Concord	wn31-01286428-n
Philippines	wn31-09003614-n
Leonhard Euler	wn31-10982603-n
Ludwig Mies van der Rohe	wn31-11198912-n
Jane Fonda	wn31-10994128-n
Rive Gauche	wn31-08952857-n
San Andreas Fault	wn31-09444482-n
William S. Burroughs	wn31-10894293-n
Paul Heyse	wn31-11068874-n
Booker T. Washington	wn31-11395672-n
Francis Poulenc	wn31-11264409-n
Italo Calvino	wn31-10900593-n
Valdosta, Georgia	wn31-09100488-n
Dennis Gabor	wn31-11006558-n
Dudley Moore	wn31-11209819-n
Sacramento, California	wn31-09087443-n
Latvia	wn31-09035444-n
Igigi	wn31-09541713-n
Gaza Strip	wn31-08812218-n
Solomon Islands	wn31-09020346-n
Frank Harris	wn31-11050675-n
Charles and Ray Eames	wn31-10967251-n
Middle Paleolithic	wn31-15257696-n
Cape Sable	wn31-09257792-n
Charles Scott Sherrington	wn31-11318230-n
Morpheus (mythology)	wn31-09522361-n
Arabian Peninsula	wn31-08866686-n
Philip II of Macedon	wn31-11252827-n
Hook of Holland	wn31-09328385-n
North Channel (Great Britain and Ireland)	wn31-09396086-n
Trentino-Alto Adige/Südtirol	wn31-08830251-n
Comoro Islands	wn31-08751523-n
Battle of Jena–Auerstedt	wn31-01284782-n
Richard Francis Burton	wn31-10894836-n
Jurassic	wn31-15151547-n
Rebecca	wn31-11275765-n
Gaston Lachaise	wn31-11133888-n
Wessex	wn31-08906863-n
Loire Valley	wn31-09366029-n
Noah	wn31-11228421-n
Douglas Fairbanks, Jr.	wn31-10985542-n
Philip V of Macedon	wn31-11253201-n
Ottawa	wn31-08846478-n
Guadalcanal	wn31-08862727-n
Central Park	wn31-09143897-n
Billy Sunday	wn31-11345529-n
Gottlieb Daimler	wn31-10940761-n
Sydney Harbour Bridge	wn31-04381695-n
Bayonne, New Jersey	wn31-09135860-n
Cook Strait	wn31-09278674-n
Hermann Hesse	wn31-11068200-n
Orcus	wn31-09593643-n
Guatemala	wn31-08754874-n
Oval Office	wn31-03868051-n
Iron Age	wn31-15256561-n
Crater Lake National Park	wn31-08621641-n
James Wyatt	wn31-11419616-n
Mack Sennett	wn31-11312998-n
Giordano Bruno	wn31-10888325-n
Daniel Burnham	wn31-10893092-n
Ronald Reagan	wn31-11275450-n
Mandalay	wn31-08733785-n
Dwight F. Davis	wn31-10944204-n
Lubbock, Texas	wn31-09167954-n
John Langdon Down	wn31-10962136-n
Biscayne National Park	wn31-08620553-n
François Truffaut	wn31-11369630-n
Viborg, Denmark	wn31-08780213-n
Gaétan Vestris	wn31-11385295-n
Nikita Khrushchev	wn31-11124277-n
Zomba, Malawi	wn31-08983017-n
Anne Sullivan	wn31-11344423-n
Mercury Bay	wn31-09374305-n
Hendrik Lorentz	wn31-11158291-n
Hero of Alexandria	wn31-11065101-n
Torah	wn31-06463893-n
Kansas	wn31-09110150-n
Pontus (region)	wn31-08719533-n
Jimmy Durante	wn31-10965817-n
Rakaposhi	wn31-09426456-n
Eugène Delacroix	wn31-10948249-n
Juneau, Alaska	wn31-09078249-n
Zoroaster	wn31-11427710-n
Volcán de Colima	wn31-09196912-n
Saipan	wn31-08857062-n
Valentina Tereshkova	wn31-11356359-n
Sierra Madre Oriental	wn31-09457565-n
University of West Virginia	wn31-04520592-n
Edmund I	wn31-10969416-n
Mount Hubbard	wn31-09329548-n
Murmansk	wn31-09031093-n
Pluto (Disney)	wn31-09626432-n
Kurt Weill	wn31-11399903-n
Yucatán	wn31-08758063-n
Timothy Leary	wn31-11142569-n
Jackson, Michigan	wn31-09123727-n
Wausau, Wisconsin	wn31-09181683-n
John Brown (abolitionist)	wn31-10885804-n
Kedah	wn31-08986627-n
Tocantins River	wn31-09482523-n
Mount Parnassus	wn31-09408479-n
Reconstruction Era	wn31-15286469-n
Woodrow Wilson	wn31-11410850-n
Cape Cod	wn31-09120776-n
Frank Whittle	wn31-11405437-n
Friedrich Nietzsche	wn31-11227115-n
Isaac Hull	wn31-11085713-n
Thunder Bay	wn31-08847288-n
Robert Boyle	wn31-10879704-n
Nineveh	wn31-08939248-n
New Delhi	wn31-08923207-n
Watergate scandal	wn31-07321581-n
Simon de Montfort, 6th Earl of Leicester	wn31-11207744-n
Cherbourg-Octeville	wn31-08955447-n
James Hutton	wn31-11089251-n
Naomi (biblical figure)	wn31-11219933-n
Thomas Young (scientist)	wn31-11423824-n
Serpens	wn31-09453163-n
Battle of Lützen (1632)	wn31-01287798-n
Le Havre	wn31-08956076-n
Cheddar, Somerset	wn31-08899112-n
Capri	wn31-08823805-n
Vega	wn31-09493042-n
Hyperion (mythology)	wn31-09587609-n
Seth Thomas (clockmaker)	wn31-11359529-n
Nikolaas Tinbergen	wn31-11363035-n
Dagon	wn31-09540344-n
Molokai	wn31-09102798-n
Titan (mythology)	wn31-09595603-n
Delaware Memorial Bridge	wn31-03177268-n
Sioux City, Iowa	wn31-09110001-n
Lawton, Oklahoma	wn31-09154954-n
Clyde Tombaugh	wn31-11365534-n
Ivan Pavlov	wn31-11247196-n
Dr. Seuss	wn31-11013632-n
Charlie Parker	wn31-11242904-n
Second Sino-Japanese War	wn31-01278427-n
Green River (Colorado River)	wn31-09316972-n
Santa Catalina Island, California	wn31-09089425-n
New York City	wn31-09140848-n
Australasia	wn31-08855157-n
Mars	wn31-09370342-n
Rome	wn31-08824749-n
Battle of Tewkesbury	wn31-01299782-n
Southeastern United States	wn31-08581015-n
Lysimachus	wn31-11166183-n
Missouri Compromise	wn31-07194269-n
Mayenne	wn31-08963234-n
Kwajalein Atoll	wn31-08858706-n
Madame du Barry	wn31-10963803-n
Haifa	wn31-08815914-n
Charleroi	wn31-08870356-n
Munich	wn31-08792060-n
J. R. R. Tolkien	wn31-11365176-n
Kay Boyle	wn31-10879943-n
Septuagint	wn31-06460067-n
Namibia	wn31-08717468-n
Saint Lucia	wn31-09010979-n
Severn River (northern Ontario)	wn31-09453894-n
Graz	wn31-08865618-n
Carnegie Mellon University	wn31-02969388-n
Yuri Gagarin	wn31-11006862-n
Yogi Berra	wn31-10868542-n
Arthur Symons	wn31-11347645-n
Ray Dolby	wn31-10958011-n
Battle of Minden	wn31-01290550-n
Fats Domino	wn31-10958632-n
Uncle Tom	wn31-09627401-n
Hel (being)	wn31-09604003-n
Hohenlinden	wn31-08789861-n
Jacques Ibert	wn31-11090521-n
Osasco	wn31-08875154-n
Sioux Falls, South Dakota	wn31-09162571-n
Aruba	wn31-08766627-n
Manchester, New Hampshire	wn31-09134601-n
Nagasaki	wn31-08945730-n
Napoleon III	wn31-11220482-n
William II of England	wn31-11408836-n
Jack Lemmon	wn31-11145830-n
Walt Whitman	wn31-11404981-n
Montreal	wn31-08848525-n
Iran–Iraq War	wn31-01307801-n
C. F. Powell	wn31-11264877-n
Evelyn Waugh	wn31-11397163-n
Alexandria	wn31-08918414-n
The Star-Spangled Banner	wn31-07063331-n
Sodom and Gomorrah	wn31-08813506-n
William L. Shirer	wn31-11318624-n
Cronus	wn31-09581094-n
February Revolution	wn31-01310245-n
Mesozoic	wn31-15151127-n
Marcel Proust	wn31-11267288-n
Flint River (Georgia)	wn31-09304451-n
Francis of Assisi	wn31-10998094-n
Ramesses XI	wn31-11273087-n
Gemini (constellation)	wn31-09310519-n
Oviedo	wn31-09049150-n
Otto Loewi	wn31-11157496-n
Laocoön	wn31-09620315-n
Daniel Boone	wn31-10877014-n
Gafsa	wn31-09060645-n
San Joaquin Valley	wn31-09445842-n
Dalton Trumbo	wn31-11370054-n
Djanet	wn31-08724849-n
Northamptonshire	wn31-08906000-n
Bay of Bengal	wn31-09239349-n
Hippo Regius	wn31-08724959-n
Silicon Valley	wn31-09189695-n
Giambattista Marino	wn31-11176802-n
Greater Sudbury	wn31-08847143-n
Ernst Mach	wn31-11167523-n
Rupert Brooke	wn31-10885577-n
Lucy (Australopithecus)	wn31-02479367-n
Tony Blair	wn31-10872102-n
Pisces (constellation)	wn31-09415717-n
Cochise	wn31-10923322-n
Canary Islands	wn31-09047342-n
King Oliver	wn31-11234143-n
Kolonia	wn31-08856449-n
Mary II of England	wn31-11182000-n
Sinbad the Sailor	wn31-09627880-n
Arafura Sea	wn31-09225481-n
Carl Rogers	wn31-11288513-n
Jefferson City, Missouri	wn31-09129534-n
Donald Barthelme	wn31-10856009-n
Nathan Hale	wn31-11043619-n
Henry Louis Le Châtelier	wn31-11142967-n
Sapporo	wn31-08945325-n
Ruth St. Denis	wn31-11333906-n
Cassiopeia (constellation)	wn31-09260533-n
Nord-Pas-de-Calais	wn31-08963583-n
DuBose Heyward	wn31-11068996-n
L. Frank Baum	wn31-10858261-n
Moscow Kremlin	wn31-03633881-n
Bernard Baruch	wn31-10857163-n
Edward Everett Hale	wn31-11043323-n
Zellig Harris	wn31-11051012-n
Uruguay	wn31-09183088-n
Tuileries Garden	wn31-04503330-n
Lester Young	wn31-11423688-n
Samhita	wn31-06476508-n
Leslie Howard (musician)	wn31-11082280-n
Fannie Farmer	wn31-10986488-n
Melbourne	wn31-08852801-n
Contras	wn31-08046938-n
Ramon Llull	wn31-11165075-n
Mbeya	wn31-09058107-n
Chad	wn31-08737870-n
W. C. Fields	wn31-10990710-n
Battle of Actium	wn31-01270950-n
Omdurman	wn31-09052966-n
James Wilson	wn31-11411582-n
Neil Simon	wn31-11321124-n
